index,Date,copper_price,CU_Cathode_FM,CU_Cathode_US_DOM,CU_Cathode_RSA,CU_Cathode_Rotterdam,CU_Cathode_Germany,CU_Cathode_Shangai,CU_Cathode_Japan,CU_Cathode_Taiwan,CU_Cathode_Seasia,Heavy_CU_Wire_1,Heavy_CU_Wire_2,Redbrass_Scrap,Yellowbrass_Scrap,Cu_Wire_Barley,Cu_Wire_Berry,Heavy_CU_Scrap,Cu_Wire_Scrap,Production,Consumption,CU_Concentrate_TC,CU_Concentrate_RC,pred_price,Error
243,02-09-2018,5889.4,0.001342,0.0008,89176.792,46,92.5,85.5,70,72.5,83.5,0.000906,0.000976,0.001016,0.000822,0.001262,0.001234,0.001226,0.001094,6434,6615,84,8.4,5739.004132,150.3958678
244,09-09-2018,5903.4,0.001354,0.0008,88803.48,45,92.5,92.7,70,78.5,85,0.0009,0.00097,0.001,0.00081,0.001274,0.001248,0.001238,0.001108,6434,6615,84,8.4,5788.157851,115.2421488
245,16-09-2018,6036,0.001396,0.0008,88917.596,45,92.5,107,82,90,91,0.00089,0.00096,0.001,0.00081,0.001322,0.00129,0.00128,0.001158,6434,6615,84,8.4,5960.195868,75.80413223
246,23-09-2018,6251,0.001438,0.0008,89398.504,45,92.5,109.5,85,84.5,90.5,0.00089,0.00096,0.001006,0.000816,0.001358,0.001328,0.001318,0.001202,6434,6615,84.48,8.448,6132.233884,118.7661157
247,30-09-2018,6242.6,0.001426,0.0008,90327.61,47,92.5,107.5,85,84.5,90,0.00094,0.00101,0.00101,0.000826,0.001346,0.001318,0.001306,0.0012,6434,6615,86.4,8.64,6083.080165,159.5198347
248,07-10-2018,6129.7,0.001424,0.0008,91643.418,47.5,92.5,102.1,85,85,86,0.00094,0.00101,0.00101,0.000836,0.001352,0.001314,0.001308,0.001204,6434,6615,86.4,8.64,6074.887879,54.81212121
249,14-10-2018,6168.4,0.001418,0.0008,89199.096,47.5,92.5,99.6,85,85,85,0.00094,0.00101,0.001016,0.000858,0.00134,0.00131,0.001298,0.0012,6434,6615,86.4,8.64,6050.311019,118.0889807
250,21-10-2018,6196,0.001412,0.0008,89634.594,47.5,92.5,99,85,85,85,0.00094,0.00101,0.001032,0.000876,0.001338,0.001304,0.001292,0.001198,6434,6615,86.4,8.64,6025.73416,170.2658402
251,28-10-2018,6207.8,0.001398,0.0008,89764.604,46.3,92.5,96,85,85,85,0.000932,0.001002,0.001034,0.000874,0.001318,0.001282,0.00127,0.00118,6434,6615,86.4,8.64,5968.388154,239.4118457
252,04-11-2018,6254.4,0.00144,0.0008,89418.35,46,92.5,95,85,85,85,0.00092,0.00099,0.00103,0.00087,0.00136,0.00133,0.00132,0.00123,6434,6615,86.4,8.64,6140.426171,113.9738292
253,11-11-2018,6194,0.00144,0.0008,89418.35,46,92.5,95,85,85,85,0.00092,0.00099,0.00103,0.00087,0.00136,0.00133,0.00132,0.00123,6434,6615,86.4,8.64,6140.426171,53.5738292
